OBJECTID,Plot_ID,Treatment,ORIG_FID,high20190313,high20190401,high20190404,high20190418,high20190423,high20190507,high20190508,high20190620,high20190724,high20190905,high20191016,high20191024,high20191205,high20191219,high20200114,high20200120,high20200123,high20200310,high20200224,high20200220,high20200213
1,1,T,1,16.99300003,26.11599922,18.48200035,26.03000069,22.74300003,19.18799973,20.44099998,25.9829998,35.33300018,35.06999969,27.90699959,32.95600128,16.47999954,16.12000084,16.15099907,16.81299973,19.12999916,20.03899956,17.93899918,20.4810009,19.89800072
2,1,C,2,16.99300003,26.11599922,18.48200035,26.03000069,22.74300003,19.18799973,20.44099998,25.9829998,35.33300018,35.06999969,27.90699959,32.95600128,16.47999954,16.12000084,16.15099907,16.81299973,19.12999916,20.03899956,17.93899918,20.4810009,19.89800072
3,2,C,3,16.9279995,26.09600067,18.50900078,26.33099937,23.13100052,19.39999962,20.52599907,25.76499939,35.71500015,35.37099838,28.31100082,33.12400055,16.5510006,16.52099991,16.63100052,16.67200089,19.60400009,19.77099991,18.14900017,21.06800079,19.98800087
4,2,T,4,16.9279995,26.09600067,18.50900078,26.33099937,23.13100052,19.39999962,20.52599907,25.76499939,35.71500015,35.37099838,28.31100082,33.12400055,16.5510006,16.52099991,16.63100052,16.67200089,19.60400009,19.77099991,18.14900017,21.06800079,19.98800087
5,3,C,5,17.03700066,26.20299911,18.53800011,25.55800056,21.98999977,18.57600021,19.95899963,24.65500069,31.54199982,32.00799942,26.39900017,32.28300095,16.64999962,16.21899986,16.14699936,16.8220005,19.07900047,20.19400024,17.91200066,20.20000076,19.85300064
6,3,T,6,17.03700066,26.20299911,18.53800011,25.55800056,21.98999977,18.57600021,19.95899963,24.65500069,31.54199982,32.00799942,26.39900017,32.28300095,16.64999962,16.21899986,16.14699936,16.8220005,19.07900047,20.19400024,17.91200066,20.20000076,19.85300064
7,4,T,7,16.99300003,26.11599922,18.48200035,26.03000069,22.74300003,19.18799973,20.44099998,25.9829998,35.33300018,35.06999969,27.90699959,32.95600128,16.47999954,16.12000084,16.15099907,16.81299973,19.12999916,20.03899956,17.93899918,20.4810009,19.89800072
8,4,C,8,16.99300003,26.11599922,18.48200035,26.03000069,22.74300003,19.18799973,20.44099998,25.9829998,35.33300018,35.06999969,27.90699959,32.95600128,16.47999954,16.12000084,16.15099907,16.81299973,19.12999916,20.03899956,17.93899918,20.4810009,19.89800072
9,6,T,9,16.99300003,26.11599922,18.48200035,26.03000069,22.74300003,19.18799973,20.44099998,25.9829998,35.33300018,35.06999969,27.90699959,32.95600128,16.47999954,16.12000084,16.15099907,16.81299973,19.12999916,20.03899956,17.93899918,20.4810009,19.89800072
10,6,C,10,16.99300003,26.11599922,18.48200035,26.03000069,22.74300003,19.18799973,20.44099998,25.9829998,35.33300018,35.06999969,27.90699959,32.95600128,16.47999954,16.12000084,16.15099907,16.81299973,19.12999916,20.03899956,17.93899918,20.4810009,19.89800072
11,5,C,11,16.99300003,26.11599922,18.48200035,26.03000069,22.74300003,19.18799973,20.44099998,25.9829998,35.33300018,35.06999969,27.90699959,32.95600128,16.47999954,16.12000084,16.15099907,16.81299973,19.12999916,20.03899956,17.93899918,20.4810009,19.89800072
12,5,T,12,16.99300003,26.11599922,18.48200035,26.03000069,22.74300003,19.18799973,20.44099998,25.9829998,35.33300018,35.06999969,27.90699959,32.95600128,16.47999954,16.12000084,16.15099907,16.81299973,19.12999916,20.03899956,17.93899918,20.4810009,19.89800072
13,ALT,T,13,16.99300003,26.11599922,18.48200035,26.03000069,22.74300003,19.18799973,20.44099998,25.9829998,35.33300018,35.06999969,27.90699959,32.95600128,16.47999954,16.12000084,16.15099907,16.81299973,19.12999916,20.03899956,17.93899918,20.4810009,19.89800072
14,ALT,C,14,16.99300003,26.11599922,18.48200035,26.03000069,22.74300003,19.18799973,20.44099998,25.9829998,35.33300018,35.06999969,27.90699959,32.95600128,16.47999954,16.12000084,16.15099907,16.81299973,19.12999916,20.03899956,17.93899918,20.4810009,19.89800072
